Switch,Sound,Smoothness,Feel,Overall,Price Weighted,Total,Weighted Total,Price,Name,Personal Rating,,MAX Total
Ms Piggy,8,9,8.5,9,10,34.5,44.5,$0.50,Ms Piggy,8.5,,40
Gateron UNGA X,8,9,8.5,9,7,34.5,41.5,$0.85,Gateron Unga X,8,,Max Weighted Total
Obsidian V2,8.5,8.5,8,9,7,34,41,$0.65,Obsidian V2,6,,50
UNGA CJ,8,9,8,8.5,6,33.5,39.5,$0.60,UNGA CJ,8,,
UNGA CJ,8,9,8,8.5,6,33.5,39.5,$0.85,UNGA CJ,8,,
JWICK Semi-Silent,9,8,8,8,7,33,40,$0.70,Jwick Semi-Silent,8,,
Pure Berry,8,9,8,8,8,33,41,$0.45,Pure Berry,6.5,,
WS Onion,8,9,8,8,5,33,38,$0.70,WS Onion,6,,
Akko Jelly Black,8,9,8,8,10,33,43,$0.38,Akko Jelly Black,7.5,,
KNC Green Jacket,7.5,9,8,8,8,32.5,40.5,$0.65,KNC Green Jacket,8,,
Akko Sakura,8,8.5,8,8,10,32.5,42.5,$0.37,Akko Sakura,7.5,,
Akko Sakura,8,8.5,8,8,10,32.5,42.5,$0.38,Akko Sakura,7.5,,
Box Ink V2,7,9,8,8,5,32,37,$0.85,Box Ink V2,8,,
Zaku,9,7,8,8,8,32,40,$0.55,Zaku,7.5,,
Box Ink V2,7,9,8,8,5,32,37,$0.85,Box Ink V2,8,,
Broken Oooolong,7,9,8,8,7,32,39,$0.65,Broken Oooolong,8,,
SOTC,7,9,8,8,8,32,40,$0.65,SOTC,8,,
Ube,8,8,8,8,8,32,40,$0.65,Ube,7,,
Quartz V2,7,9,8,8,5,32,37,$0.68,Quartz V2,6,,
Doom,8,8,7.5,8,7,31.5,38.5,$0.65,Doom,6,,
Gateron CJ,8,9,7,7,8,31,39,$0.60,Gateron CJ,8,,
Unga Creams Lubed,7,8,8,8,3,31,34,$0.99,Unga Creams Lubed,8,,
KTT Rose,7,8,7,7,8,29,37,$0.27,KTT Rose,5,,
Banana Split,7,8,7,7,5,29,34,$0.65,Banana Split,7,,
Unga Ultraglide,7.5,6.5,7.5,7,3,28.5,31.5,$0.83,Unga Ultraglide,6,,
LY Gateron X,6,9,6,6,0,27,27,$1.14,LY Gateron X,5,,
Cherry Ultraglides,8,8,5,6,2,27,29,$0.49,Cherry Ultraglides,4,,
